idmedidor,unidade,dataleitura,leitura,coletivo
E11L001442,avt,31/08/2014,5642.200,coletivo
A11N130448,house#01,31/08/2014,28.799,individual
A11N130446,house#02,31/08/2014,110.202,individual
A11N130450,house#03,31/08/2014,307.974,individual
A11N130447,house#04,31/08/2014,106.454,individual
A11N130449,house#05,31/08/2014,172.514,individual
A11N130441,house#06,31/08/2014,27.526,individual
A11N130445,common,31/08/2014,208.596,compartilhado
A11N130453,house#07,31/08/2014,156.992,individual
A11N130455,house#08,31/08/2014,159.536,individual
A11N130457,house#09,31/08/2014,139.026,individual
A11N130456,house#10,31/08/2014,307.402,individual
A11N130442,house#11,31/08/2014,162.891,individual
A11N130443,house#12,31/08/2014,178.569,individual
A11N130444,house#13,31/08/2014,162.881,individual
A11N130498,house#14,31/08/2014,78.283,individual
A11N130458,house#15,31/08/2014,90.619,individual
A11N130497,house#16,31/08/2014,27.807,individual
A11N130454,house#17,31/08/2014,112.659,individual
A11N130460,house#18,31/08/2014,542.349,individual
A11N130452,house#19,31/08/2014,14.745,individual
A11N130451,house#20,31/08/2014,30.141,individual
A11N130459,house#21,31/08/2014,335.296,individual
E11L001442,avt,01/09/2014,5652.000,coletivo
A11N130448,house#01,01/09/2014,28.975,individual
A11N130446,house#02,01/09/2014,110.251,individual
A11N130450,house#03,01/09/2014,308.740,individual
A11N130447,house#04,01/09/2014,107.077,individual
A11N130449,house#05,01/09/2014,173.350,individual
A11N130441,house#06,01/09/2014,27.530,individual
A11N130445,common,01/09/2014,209.325,compartilhado
A11N130453,house#07,01/09/2014,157.241,individual
A11N130455,house#08,01/09/2014,159.635,individual
A11N130457,house#09,01/09/2014,139.644,individual
A11N130456,house#10,01/09/2014,308.239,individual
A11N130442,house#11,01/09/2014,163.417,individual
A11N130443,house#12,01/09/2014,179.099,individual
A11N130444,house#13,01/09/2014,163.312,individual
A11N130498,house#14,01/09/2014,78.387,individual
A11N130458,house#15,01/09/2014,90.935,individual
A11N130497,house#16,01/09/2014,27.858,individual
A11N130454,house#17,01/09/2014,113.208,individual
A11N130460,house#18,01/09/2014,542.897,individual
A11N130452,house#19,01/09/2014,14.770,individual
A11N130451,house#20,01/09/2014,30.447,individual
A11N130459,house#21,01/09/2014,336.023,individual
E11L001442,avt,02/09/2014,5664.300,coletivo
A11N130448,house#01,02/09/2014,29.131,individual
A11N130446,house#02,02/09/2014,110.713,individual
A11N130450,house#03,02/09/2014,309.874,individual
A11N130447,house#04,02/09/2014,107.596,individual
A11N130449,house#05,02/09/2014,174.031,individual
A11N130441,house#06,02/09/2014,27.552,individual
A11N130445,common,02/09/2014,210.112,compartilhado
A11N130453,house#07,02/09/2014,157.434,individual
A11N130455,house#08,02/09/2014,159.910,individual
A11N130457,house#09,02/09/2014,140.822,individual
A11N130456,house#10,02/09/2014,309.044,individual
A11N130442,house#11,02/09/2014,163.958,individual
A11N130443,house#12,02/09/2014,179.753,individual
A11N130444,house#13,02/09/2014,163.830,individual
A11N130498,house#14,02/09/2014,78.475,individual
A11N130458,house#15,02/09/2014,91.553,individual
A11N130497,house#16,02/09/2014,27.915,individual
A11N130454,house#17,02/09/2014,114.316,individual
A11N130460,house#18,02/09/2014,543.094,individual
A11N130452,house#19,02/09/2014,14.823,individual
A11N130451,house#20,02/09/2014,30.547,individual
A11N130459,house#21,02/09/2014,336.643,individual
E11L001442,avt,03/09/2014,5675.600,coletivo
A11N130448,house#01,03/09/2014,29.425,individual
A11N130446,house#02,03/09/2014,111.269,individual
A11N130450,house#03,03/09/2014,311.431,individual
A11N130447,house#04,03/09/2014,107.928,individual
A11N130449,house#05,03/09/2014,174.329,individual
A11N130441,house#06,03/09/2014,27.620,individual
A11N130445,common,03/09/2014,210.262,compartilhado
A11N130453,house#07,03/09/2014,158.232,individual
A11N130455,house#08,03/09/2014,159.972,individual
A11N130457,house#09,03/09/2014,141.871,individual
A11N130456,house#10,03/09/2014,310.521,individual
A11N130442,house#11,03/09/2014,164.759,individual
A11N130443,house#12,03/09/2014,180.234,individual
A11N130444,house#13,03/09/2014,163.900,individual
A11N130498,house#14,03/09/2014,78.625,individual
A11N130458,house#15,03/09/2014,91.982,individual
A11N130497,house#16,03/09/2014,27.969,individual
A11N130454,house#17,03/09/2014,114.612,individual
A11N130460,house#18,03/09/2014,543.776,individual
A11N130452,house#19,03/09/2014,14.905,individual
A11N130451,house#20,03/09/2014,30.647,individual
A11N130459,house#21,03/09/2014,337.089,individual
E11L001442,avt,04/09/2013,2616.000,coletivo
E11L001442,avt,03/10/2013,2667.000,coletivo
E11L001442,avt,11/1/2013,2734.000,coletivo
E11L001442,avt,06/01/2014,3270.000,coletivo
E11L001442,avt,04/02/2014,3520.000,coletivo
E11L001442,avt,07/03/2014,3792.000,coletivo
E11L001442,avt,04/04/2014,4043.000,coletivo
E11L001442,avt,08/05/2014,4392.000,coletivo
E11L001442,avt,06/06/2014,4685.000,coletivo
E11L001442,avt,09/07/2014,5062.000,coletivo
E11L001442,avt,05/09/2014,5695.700,coletivo
A11N130448,house#01,05/09/2014,29.568,individual
A11N130446,house#02,05/09/2014,112.225,individual
A11N130450,house#03,05/09/2014,312.563,individual
A11N130447,house#04,05/09/2014,108.586,individual
A11N130449,house#05,05/09/2014,175.161,individual
A11N130441,house#06,05/09/2014,27.712,individual
A11N130445,common,05/09/2014,210.418,compartilhado
A11N130453,house#07,05/09/2014,159.167,individual
A11N130455,house#08,05/09/2014,160.995,individual
A11N130457,house#09,05/09/2014,143.129,individual
A11N130456,house#10,05/09/2014,312.909,individual
A11N130442,house#11,05/09/2014,165.619,individual
A11N130443,house#12,05/09/2014,181.418,individual
A11N130444,house#13,05/09/2014,164.277,individual
A11N130498,house#14,05/09/2014,79.308,individual
A11N130458,house#15,05/09/2014,92.420,individual
A11N130497,house#16,05/09/2014,28.329,individual
A11N130454,house#17,05/09/2014,115.196,individual
A11N130460,house#18,05/09/2014,544.381,individual
A11N130452,house#19,05/09/2014,14.927,individual
A11N130451,house#20,05/09/2014,30.818,individual
A11N130459,house#21,05/09/2014,339.582,individual
E11L001442,avt,06/09/2014,5705.700,coletivo
A11N130448,house#01,06/09/2014,29.615,individual
A11N130446,house#02,06/09/2014,112.687,individual
A11N130450,house#03,06/09/2014,313.651,individual
A11N130447,house#04,06/09/2014,109.128,individual
A11N130449,house#05,06/09/2014,175.452,individual
A11N130441,house#06,06/09/2014,27.768,individual
A11N130445,common,06/09/2014,210.508,compartilhado
A11N130453,house#07,06/09/2014,159.590,individual
A11N130455,house#08,06/09/2014,161.232,individual
A11N130457,house#09,06/09/2014,143.302,individual
A11N130456,house#10,06/09/2014,314.058,individual
A11N130442,house#11,06/09/2014,165.858,individual
A11N130443,house#12,06/09/2014,182.078,individual
A11N130444,house#13,06/09/2014,164.669,individual
A11N130498,house#14,06/09/2014,79.442,individual
A11N130458,house#15,06/09/2014,92.640,individual
A11N130497,house#16,06/09/2014,28.343,individual
A11N130454,house#17,06/09/2014,116.100,individual
A11N130460,house#18,06/09/2014,544.941,individual
A11N130452,house#19,06/09/2014,14.937,individual
A11N130451,house#20,06/09/2014,30.824,individual
A11N130459,house#21,06/09/2014,340.620,individual
E11L001442,avt,07/09/2014,5714.200,coletivo
A11N130448,house#01,07/09/2014,29.689,individual
A11N130446,house#02,07/09/2014,112.923,individual
A11N130450,house#03,07/09/2014,313.658,individual
A11N130447,house#04,07/09/2014,110.415,individual
A11N130449,house#05,07/09/2014,176.140,individual
A11N130441,house#06,07/09/2014,27.773,individual
A11N130445,common,07/09/2014,210.548,compartilhado
A11N130453,house#07,07/09/2014,159.688,individual
A11N130455,house#08,07/09/2014,161.545,individual
A11N130457,house#09,07/09/2014,143.473,individual
A11N130456,house#10,07/09/2014,315.174,individual
A11N130442,house#11,07/09/2014,165.986,individual
A11N130443,house#12,07/09/2014,182.843,individual
A11N130444,house#13,07/09/2014,164.977,individual
A11N130498,house#14,07/09/2014,79.452,individual
A11N130458,house#15,07/09/2014,92.705,individual
A11N130497,house#16,07/09/2014,28.371,individual
A11N130454,house#17,07/09/2014,116.840,individual
A11N130460,house#18,07/09/2014,545.558,individual
A11N130452,house#19,07/09/2014,14.954,individual
A11N130451,house#20,07/09/2014,31.122,individual
A11N130459,house#21,07/09/2014,340.810,individual
E11L001442,avt,8/6/2014,5371.000,coletivo
E11L001442,avt,9/8/2014,5722.000,coletivo
E11L001442,avt,9/8/2014,5723.200,coletivo
A11N130448,house#01,9/8/2014,29.714,individual
A11N130446,house#02,9/8/2014,113.398,individual
A11N130450,house#03,9/8/2014,314.043,individual
A11N130447,house#04,9/8/2014,110.613,individual
A11N130449,house#05,9/8/2014,176.768,individual
A11N130441,house#06,9/8/2014,27.781,individual
A11N130445,common,9/8/2014,210.605,compartilhado
A11N130453,house#07,9/8/2014,159.916,individual
A11N130455,house#08,9/8/2014,162.246,individual
A11N130457,house#09,9/8/2014,143.861,individual
A11N130456,house#10,9/8/2014,316.362,individual
A11N130442,house#11,9/8/2014,166.240,individual
A11N130443,house#12,9/8/2014,183.466,individual
A11N130444,house#13,9/8/2014,165.242,individual
A11N130498,house#14,9/8/2014,79.471,individual
A11N130458,house#15,9/8/2014,93.086,individual
A11N130497,house#16,9/8/2014,28.389,individual
A11N130454,house#17,9/8/2014,117.304,individual
A11N130460,house#18,9/8/2014,545.921,individual
A11N130452,house#19,9/8/2014,14.962,individual
A11N130451,house#20,9/8/2014,31.286,individual
A11N130459,house#21,9/8/2014,341.619,individual
E11L001442,avt,9/9/2014,5735.600,coletivo
A11N130448,house#01,9/9/2014,29.848,individual
A11N130446,house#02,9/9/2014,113.798,individual
A11N130450,house#03,9/9/2014,314.404,individual
A11N130447,house#04,9/9/2014,111.728,individual
A11N130449,house#05,9/9/2014,177.459,individual
A11N130441,house#06,9/9/2014,27.782,individual
A11N130445,common,9/9/2014,210.998,compartilhado
A11N130453,house#07,9/9/2014,160.530,individual
A11N130455,house#08,9/9/2014,162.644,individual
A11N130457,house#09,9/9/2014,144.771,individual
A11N130456,house#10,9/9/2014,317.343,individual
A11N130442,house#11,9/9/2014,166.560,individual
A11N130443,house#12,9/9/2014,184.016,individual
A11N130444,house#13,9/9/2014,165.935,individual
A11N130498,house#14,9/9/2014,79.620,individual
A11N130458,house#15,9/9/2014,93.427,individual
A11N130497,house#16,9/9/2014,28.403,individual
A11N130454,house#17,9/9/2014,118.027,individual
A11N130460,house#18,9/9/2014,546.294,individual
A11N130452,house#19,9/9/2014,14.966,individual
A11N130451,house#20,9/9/2014,31.410,individual
